Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@NoKalm2020	@Saphirax_ @elchicoAFP Obvio, la modificación se refiere al retiro del 10% y es una disposición transitoria limitada al contexto de la pandemia COVID-19, no permanente, la inexpropiabilidad no puede ser transitoria y debe ser incluida en la reforma al sistema de pensiones, no confunda a la gente	2020-07-23 15:02:16	es		0.0	0.0	@Saphirax_	Richard		118.0	1.0	76.0	81.0	1.0	False		
@MMEG_Arica	¡Cerca de 850 mil padres y madres beneficiarios! Presidente @sebastianpinera promulgó la Ley de #CrianzaProtegida, que permite que ellos puedan acceder a la Ley de #ProtecciónDelEmpleo o a una licencia médica preventiva parental #COVID_19. https://t.co/A89qVjYNi5	2020-07-23 15:02:16	es		0.0	0.0		Seremi Mujer y Equidad de Género Arica Parinacota	Secretaría Regional Ministerial de la Mujer y la Equidad de Género de Arica y Parinacota	2107.0	4074.0	441.0	675.0	7.0	False		
@IntendenciaVII	¡Atención! La Ley de #CrianzaProtegida, promulgada hoy por el Presidente @sebastianpinera, permite que padres o madres cuyo postnatal parental haya vencido desde el 18 de marzo puedan acceder a una licencia médica preventiva parental #COVID_19 https://t.co/bbjniVCD4J	2020-07-23 15:02:15	es		0.0	0.0		Intendencia Maule	Cuenta Oficial de la Intendencia de la Región del Maule y de las labores de su Intendente, Juan Eduardo Prieto	17934.0	4536.0	3972.0	17195.0	63.0	False		
@CentroHispanoNC	¿Quiere saber qué medidas de seguridad hemos puesto en marcha para ayudar a proteger al personal y a los huéspedes de la COVID-19? Estamos orgullosos de haber completado la certificación de seguridad para #DeVueltaAlRuedo. Encuentre más información en https://t.co/05MiHnpnGK.	2020-07-23 15:02:12	es		0.0	0.0		El Centro Hispano	NPO that works to strengthen the community, build bridges and advocate for equity and inclusion for Hispanics/Latinos in the Triangle area of North Carolina	744.0	336.0	55.0	307.0	9.0	False		
@SurkunaEc	"📋ENCUESTA ⎪Has tenido dificultades para acceder a tu tratamiento para el VIH-Sida durante esta Emergencia Sanitaria por COVID-19. Cuéntannos tu experiencia. 

Llena la Encuesta ➡️https://t.co/U8AIFEPiRE
Te tomará 10 minutos, tu aporte es muy importante.
#LibresEInformadas https://t.co/9upPyvlTiw"	2020-07-23 15:02:11	es		0.0	0.0		Surkuna💚	Organización Feminista, que lucha por los derechos de las mujeres y niñas.	22097.0	1981.0	7450.0	13597.0	70.0	False		
@CiudadVLC	Vacuna china contra la Covid-19 será un bien público de acceso universal https://t.co/x5cVkSAFuG	2020-07-23 15:02:11	es		0.0	0.0		Ciudad VLC	Somos un medio de comunicación impreso y digital, fuente de información oportuna y variada.	48276.0	2518.0	1970.0	10763.0	70.0	False		
@klaraanguas	"#23dejulio #Covid_19 #Yucatan #MeridaYucatan #Merida #JuntosSaldremosAdelante #JuntosPodemosLograrlo #BuenosDias #Mexico
POR UN DÍA DE CERO MUERTES!! POR FAVOR 😭🙏 https://t.co/DxVe6PN6nM"	2020-07-23 15:02:10	es		0.0	0.0		👠🎸klaraAnguas🇲🇽💋	"💕Amor no es lo que dices, sino lo que haces. 
               I'd Do anything for love💕 C&JR"	2251.0	502.0	163.0	73.0	0.0	False		
@edictaLuz	Régimen niega licencias a laboratorios privados para hacer pruebas de covid-19 https://t.co/echCfU2a6c a través de @ElNacionalWeb	2020-07-23 15:02:10	es		0.0	0.0		Luz Marina Blanco		14333.0	392.0	1025.0	613.0	3.0	False		
