Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@luisburranca	"Fuerza, @TeamKhabib!

El COVID-19 se cobra su primera víctima mortal en el mundo de las MMA. Nadie más y nadie menos que el padre del campeón indiscutido de peso ligero de la @ufc https://t.co/crFux3KV1h"	2020-07-03 16:37:48	es		0.0	0.0		Luis. F Burranca	Periodista, 🎸 y glotón. Vi a mi Selección clasificar a un Mundial después de 36 años. Correctamente incorrecto #Fútbol #MMA @SalimoUy @senal_deporte 15-11-2017	57770.0	25539.0	1755.0	1092.0	7.0	False		
@RedRadioVe	La OMS anuncia que verá los primeros resultados de los ensayos de medicamentos contra el covid-19 en dos semanas https://t.co/fMMhEYbOCW	2020-07-03 16:37:46	es		0.0	0.0		REDRADIOVE	Periodismo digital ®️ Análisis, investigación y desmontaje. Del texto al vídeo, del vídeo a las REDes.	203219.0	745.0	484.0	19171.0	124.0	False		
@Cicpc083	Funcionarios de la Delegación Municipal Puerto La Cruz, instan a la comunidad sobre las medidas preventivas del Covid-19. #Cicpc https://t.co/bJQll0SpQh	2020-07-03 16:37:44	es		0.0	0.0		Delegación Mcpal. Puerto La Cruz	Cuenta Oficial de la Delegación Municipal Puerto La Cruz del Cuerpo de Investigaciones Científicas, Penales y Criminalísticas	8049.0	520.0	241.0	8557.0	13.0	False		
@alahoracl	Manejando en estado de ebriedad, contra el tránsito y licencia de conducir vencida fue detenida la Directora interina del DAEM de Hijuelas #Viñadelmar #Concon #Reñaca #Valparaiso #Quilpué #VillaAlemana #Covid_19 #Chile #Quillota #Limache #Quintero https://t.co/OLG8SDq7Kg https://t.co/NI7wtDR4hz	2020-07-03 16:37:44	es		0.0	0.0		A LA HORA Noticias	A La Hora que una información te afecta entonces se convierte en noticia. Síguenos en nuestro sitio web https://t.co/xDodaWEdLm	3156.0	117.0	715.0	2158.0	6.0	False		
@Willienova	En marzo,  los babosos expertos en la web decían que el Covid 19 se eliminaría con el calor. Ya vamos mitad del verano con rumbo a el frío y la época de gripe nueva vez . Covid19, muy bien gracias.	2020-07-03 16:37:42	es		0.0	0.0		J[Nova]²	Turn to simplicity / #NoTrends	4892.0	991.0	568.0	204.0	0.0	False		
@trabdesuper	COVID-19 ☣ en un local de SUPERMERCADO JUMBO ubicado en Parana 3617 #SANISIDRO. Según nos informan, se trata de una trabajadora, sector (EXTERNA) Estamos esperando el comunicado oficial por parte de la cadena y su procedimiento.	2020-07-03 16:37:42	es		0.0	0.0		Trabajadores De Supermercados	Información útil para los Trabajadores de supermercados 🛒🇦🇷	804.0	375.0	129.0	837.0	2.0	False		
@Arancibia2020	"@AAPSonline @zev_dr Ya existe tratamiento contra el COVID-19 con 99,9% de eficacia (2 muertos de 2200 pacientes) 
Si se mueren de COVID-19 es por porfiados!! #ZelenkoProtocol  Zinc+HCQ+AZ muy al principio
https://t.co/L5MgXl87kg"	2020-07-03 16:37:39	es		0.0	0.0	@AAPSonline	jorge arancibia		789.0	1958.0	302.0	78.0	0.0	False		
@AlcaldiaVpar	Nos tomamos los semáforos para a través del arte seguir haciendo énfasis en el autocuidado. La directriz del alcalde @MelloCastroG es hacer todos los esfuerzos en defensa de la salud, y para ello nuestros artistas nos brindan todo su talento porque unidos superaremos el COVID-19 https://t.co/UEyw42eUUk	2020-07-03 16:37:39	es		0.0	0.0		Alcaldía de Valledupar	Valledupar	18061.0	6661.0	604.0	30075.0	49.0	False		
