Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@Eme_deMujerUy	Virólogos alemanes detectan por primera vez COVID-19 en leche materna https://t.co/NtnaTNQlRw	2020-05-22 16:24:40	es		0.0	0.0		EME ✨	Historias de vida, columnas de moda, psicología, entretenimiento, salud, hogar y belleza. Una comunidad para compartir qué nos interesa. Un sitio de @elpaisuy	25069.0	5409.0	675.0	5094.0	30.0	False		
@Mipreguntaes2	"Pueblo Viejo Magdalena ya cuenta 9 fallecidos por Covid 19.
En este municipio de 32 habitante, con casas construidas sobre palafitos,  fundado en 1.526 por Fray Juan Viana, el tiempo se detuvo.
Precario servcio de energía y un hospital maltrecho.@carlosecaicedo @SantaMartaDTCH https://t.co/BXQSQnK44s"	2020-05-22 16:24:39	es		0.0	0.0		Estudio de los sistemas de salud	"Observatorio de la salud.
Por ciudadanos informados!"	990.0	20.0	658.0	203.0	0.0	False		
@Ateoshn	"""Tiembla"" de miedo, el COVID-19, por el día de oración convocado por el payaso de Bukele. 😂😂😂 https://t.co/cSu963dJDO"	2020-05-22 16:24:38	es		0.0	0.0		Honduras Atea	"Ateos, Agnósticos y Librepensadores de Honduras, si eres de mente abierta y no crees en amigos imaginarios, dogmas,ni religiones... siguenos."	5265.0	171.0	2158.0	2142.0	27.0	False		
@jmanuelcarrion	Los muertos por COVID-19 en Andalucía ascienden a 1.377, dos más que ayer https://t.co/TuEJF9wN6p @eliteradiosvq @elitediario @ElitediarioC @jmanuelisbylex @jmanuelcarrion @ajimenal1 @auxiguillen66 @manuelgarana @RossellMonica @JMGBautista @VocesdlMisterio @IsbylexA #Andalucia https://t.co/kjzqPDSpW1	2020-05-22 16:24:37	es		0.0	0.0		Jose Manuel Carrion	Abogado por vocacion y por conviccion. Lucho por una justicia diferente e igual para todos.	21976.0	259.0	942.0	548.0	16.0	False		
@TRIONICCATV	Al corte del día de hoy, la Secretaría de Salud registró 32 casos nuevos y sumó otra defunción por covid-19 en San Luis Potosí https://t.co/GiWrGEmLww	2020-05-22 16:24:37	es		0.0	0.0		trionicca	Transmisión en vivo via webtv de cualquier evento.	84877.0	1.0	891.0	760.0	13.0	False		
@GuanacoNews	En San Miguel, una fallecida por Covid-19 no pudo ser enterrada debidamente por protesta en la zona. Supone un foco de infección. #GuanacoNews https://t.co/POfZwfZqE3	2020-05-22 16:24:37	es		0.0	0.0		Guanaco News	https://t.co/OCgpP2nk1e	2.0	0.0	0.0	0.0	0.0	False		
@DrPedroLuisGS	Webinar: La aplicación de las ciencias del comportamientos a las comunicaciones de COVID-19 | The Behavioural Insights Team #covid19 ⁦@sanidadgob⁩ así de bien podrías estar haciéndolo 👌🏽 https://t.co/NxUUOZoSqT	2020-05-22 16:24:35	es		0.0	0.0		Pedro Luis González, MD	Med. Preventiva y de Salud Pública. Strategies for behaviour change. European Lifestyle Medicine Org. Blog: https://t.co/jt9nYwmgwu @ecodoctor1 #behaviouralscience	21103.0	1438.0	410.0	1013.0	169.0	False		
@LANACION	Coronavirus en la Argentina: cerraron una verdulería en Núñez por tres casos de Covid-19 https://t.co/slBLup5dQS https://t.co/STXZCoJIrN	2020-05-22 16:24:35	es		0.0	0.0		LA NACION	Noticias de LA NACION. Información confiable y los mejores análisis de la realidad.	347593.0	24.0	229.0	3432294.0	10198.0	True		
