Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@AndyHowe17	@toryboypierce @MattHancock @COVID19 oops I will delete my tweet soz!! lol	2020-05-01 16:39:39	en	GB	0.0	0.0	@toryboypierce	Andy Howe	Some people use Boomer like its an insult? Proud Boomer and family man who loves life, his wife, grown up children and lovely grandchildren 🥰💜💙	2247.0	2439.0	189.0	95.0	0.0	False		
@yafimdorfman89	Thanks god I’m #essential and still employed otherwise that would definitely be me! #covid19 #coronamemes #quarantinememes #nsfw https://t.co/IaDUkciMt9	2020-05-01 16:39:39	en		0.0	0.0		YafimDorfman89	"I've been called a lot of names over the years, but most common one was ""ASSHOLE!"""	530.0	882.0	41.0	11.0	0.0	False		
@RJDnav	"Modi कैसे बेस्ट pm हो सकते हैं । लोगों को उनके विज़न में कोई विश्वास जनता को दिखाई नहीं दे रहा हैं 

उनका विज़न क्या हैं क्या वो MR.INDIA की तरह COVID19 को खत्म कर रहे हैं

बिना प्लान का LOCKDOWN से कोरोना से नहीं जनता भूख से दुगना मरने के कगार पे आ चुका हैं

#ModiBestPmEver"	2020-05-01 16:39:39	hi		0.0	0.0		NAVEEN KUMAR 🇮🇳	"विचारों के युद्ध में
पुस्तकें ही अस्त्र हैं 👍💐"	5303.0	10600.0	546.0	1824.0	1.0	False		
@comicorp	#PodcastAlert 217: HBO Gratis, lo mejor de Netflix y Cuarentena Covid19 https://t.co/pGveOHSruP vía @LosInmamables	2020-05-01 16:39:38	es		0.0	0.0		Comicorp	Noticias acerca del mundo de los comics. COMICORP ! Si te gusta, ¡DANOS LIKE EN NUESTRA PAG DE FB! https://t.co/Yn2qGkoi0a e IG https://t.co/SryFuBae2k	8914.0	654.0	170.0	3595.0	30.0	False		
@tricpmg	@p_lusiba @nakiwaladorah Exactly, sir Pastan. The emotional and psychological pain I feel from being locked away from my girlfriend should also be put into account. #covid19 is also a social disease.	2020-05-01 16:39:37	en		0.0	0.0	@p_lusiba	Patrick Arali Mugabi	Biomedical scientist,free lance journalist,part time teacher,loves nature,gospel music fanatic,struggling writer and social media addict.	9483.0	4081.0	716.0	257.0	9.0	False		
@vbmadhava	@rajankumargup @drmsbc @southrail @RailwaySeva @RailMinIndia @Karnataka_DIPR @DIPR_COVID19 @nimmasuresh need Karnataka state govt cordination with Railway officials of Blr division on proposed running of Shramik Express to other states where ever demand is there.	2020-05-01 16:39:37	en		0.0	0.0	@rajankumargup	Madhava V B	Techie #Avgeek  #infrastructure #Dreamer #politics #Renewableenergy	11120.0	39863.0	257.0	198.0	0.0	False		
@lambiejim	Hey @TD_Canada just spent 1/2 an hour in your branch at Queen E. and Lee Ave. doing some in branch only banking. No employees wearing masks, no hand sanitizer anywhere, no ability to social distance ourselves in tiny offices. You really need to do better. #tdcanadatrust #COVID19	2020-05-01 16:39:37	en		0.0	0.0		Jim Lambie	Emmy Nominated Set Decorator / Photographer / Film Instructor / Purveyor of Prop Phones	527.0	899.0	476.0	194.0	5.0	False		
@sfsutcliffe	''The difference per region may help us to scale down certain measures per epi region.For example, regions could learn from each other quickly and an increase has less impact. For this you could calculate the R (t) for each region'' @AlexWFriedrich1 #Covid19 #Netherlands #Science https://t.co/ow4ToevFrO	2020-05-01 16:39:37	en		0.0	0.0		S. F. Sutcliffe	Questioning just about everything by Design.	106538.0	37128.0	2201.0	2254.0	180.0	False		
