Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@IQMujer	👉 No te toques la cara si previamente no te has lavado las manos. 🤲 Aplicando estas medidas juntos evitamos el #Coronavirus #COVID19. En #QuintanaRoo #JuntosSaldremosAdelante 🙌 @CarlosJoaquin https://t.co/nDsv8hvvWS	2020-06-26 14:37:37	es		0.0	0.0		IQM	Instituto Quintanarroense de la Mujer. Gobierno del Estado de #QuintanaRoo 2016-2022.	11615.0	1580.0	2577.0	5103.0	27.0	False		
@alberto_turismo	Tanto nos hemos cuidado del COVID19 y de pronto, un civil y dos policías, pierden la vida a causa de la otra pandemia de México, lamentable, @SergioyLupita @LupitaJuarezH	2020-06-26 14:37:36	es		0.0	0.0		Alberto Albarrán L	Opiniones a título personal. Periodista. Turismo y gastronomía. Amante de la música, los deportes.Escape5.5. SocialMedia @CincoPuntoCinco @AsocHotelesCDMX	71087.0	37281.0	3867.0	4526.0	149.0	False		
@ContraloriaQR	"Semáforo epidemiológico de #QuintanaRoo: Naranja para todo el Estado

Es importante mantener la disciplina en las medidas preventivas para disminuir el riesgo de contagio de #COVID19.

Si no te toca salir, #QuédateEnCasa 

Vigencia: 22 al 28 de junio https://t.co/bWgEvlEEAN"	2020-06-26 14:37:35	es		0.0	0.0		SECOES QR	Secretaría de la Contraloría del Estado https://t.co/kONNVHle0o	9894.0	2792.0	746.0	3729.0	27.0	False		
@jatirado_oc	"#Covid19 #Coronavirus Ser profesora en el trimestre de los colegios invisibles: ""El aula no se puede suplir"" https://t.co/g0NYD64i6G"	2020-06-26 14:37:33	es		0.0	0.0		Juan Antonio Tirado	Periodista. Onda Cero. Editor de iBooks, director de @Stonewall_iBook; Radio Inter, Onda Madrid, Radio Voz, City Fm; Prensa4, El Telegrafo y Fotos; PopularTV...	276415.0	3017.0	1743.0	1651.0	16.0	False		
@I_Mendizabal_70	"No los olvidemos. 
🗓️ Se cumplen
1️⃣4️⃣1️⃣😔 días que llevan enterrados Joaquin y Alberto bajo la basura del vertedero de #Zaldibar. 

141 días de mutis sobre el tema.
#ZaldibarArgitu
#pnvtxapuzero
#COVID19
#rebrotes
#cuarentena
#Corrupcion https://t.co/vBbtqYNlvP"	2020-06-26 14:37:31	es		0.0	0.0		Iñaki Mendizabal	Arquitecto y Doctor en ingeniería térmica, la mayor parte del tiempo pensando en mejorar.	6071.0	4821.0	908.0	621.0	14.0	False		
@26deLasTunas	"La etapa de recuperación pos-#COVID19 en nuestro país ya es un hecho y la cultura, por supuesto, alista esfuerzos para cumplir con las medidas orientadas
#LasTunas #Cuba #CubaPorLaSalud #VamosPorMás 
@YelaineMartnezH @LaZucel @tiempo21cuba @ULTCuba 
https://t.co/FqFQKoWcJx"	2020-06-26 14:37:30	es		0.0	0.0		Periódico26	Órgano Informativo de la provincia de Las Tunas, Cuba. Fundado el 26 de julio de 1978	152462.0	19808.0	1234.0	10434.0	97.0	False		
@ColombiacomTW	#Coronavirus #Víctimas Ya son decenas de personas las que quieren una restitución por parte de China y la OMS, a las que responsabilizan de la pandemia https://t.co/By5nZ5RO8J	2020-06-26 14:37:28	es		0.0	0.0		Colombia.com (desde 🏠)	Síguenos en: YT: https://t.co/JgoqMDOlw6 FB: https://t.co/4iuAZtKlC2 IG: https://t.co/ECNoMPmXSB https://t.co/IDdDgiEz8q	46981.0	973.0	714.0	3259.0	13.0	False		
@Red_Interquorum	"Hortencia HIdalgo: ""La situación en Chile es que no se han tomado medidas adecuadas en su momento. Se ha previlegiado la economia del país. La industria y empresas siguen trabajando y exponiendo al #COVID19 a sus trabajadores"".
#InterquoristasEnelMundo"	2020-06-26 14:37:23	es		0.0	0.0		Red Interquorum	Sitio oficial - Ciudadan@s y jóvenes comprometidos con la democracia, los derechos humanos y el ambiente. Interquorum lo haces tú!	1924.0	754.0	114.0	508.0	4.0	False		
