Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@crizteeneeta	"Temperature bracelets!!!! A bracelet that automatically tells your temperature at all times, as well as monitors your body for #COVID19 symptoms!! Waterproof!! 

It informs employers, retailers and your doctors of immediate need to isolate or if medical attention is needed."	2020-04-08 18:43:29	en		0.0	0.0		Cris Mel	I love my Lakers, Bruins, Dodgers, Kings and Raiders...im a die hard sports fan and can probably drink ur ass under the table too #resistance #bluewave	21152.0	67198.0	3337.0	2047.0	12.0	False		
@christo40080275	We should have VBM regardless of #COVID19. This gives us a chance to vote out NJ machine politics grifters. #HudsonDems https://t.co/E7nynvbrZs	2020-04-08 18:43:28	en		0.0	0.0		Christopher Ebert		271.0	792.0	114.0	53.0	0.0	False		
@thevetpro	"Thanks to WarFighter Hemp for this sanitizer. The purchase of this bottle sent another to those working against #COVID19 

#sanitizer #WashYourHands #Masks4All https://t.co/MEfpNkyuCM"	2020-04-08 18:43:28	en		0.0	0.0		The Veteran Professional	Honesty, advice, and information to help veterans crush it after the military. 🇺🇸	428.0	282.0	125.0	66.0	0.0	False		
@DSzlosowska	"#COVID19  #koronawirus #koronawiruspolska
Ponad 112 tysięcy na naszej grupie na FB. 
Wpływamy na rzeczywistość w realny sposób. Dołącz !
https://t.co/YakV2I8Q4e"	2020-04-08 18:43:28	pl		0.0	0.0		Dorota Szlosowska	"Specjalista chorób płuc.
Pulmonologist fighting with lung diseases and lung cancer every day. Freelancer 🇵🇱🇸🇪🇪🇸 🏳️‍🌈"	443.0	247.0	56.0	302.0	3.0	False		
@BenWinslow	.@GovHerbert will hold a briefing this afternoon on #COVID19 with @slcmayor and @CarlosUDOT. I'm told they're discussing ways to deal with inbound travel into Utah: https://t.co/TTr4c6oDuA @fox13 #utpol #Utah	2020-04-08 18:43:28	en		0.0	0.0	@BenWinslow	Ben Winslow	Coverer of news in Utah ranging from politics to courts to vice and polygamy. In search of the perfect anchorman hair. A warning: I tweet. A LOT.	197502.0	4062.0	3054.0	31241.0	818.0	True		
@Philleray	En fait c’est lundi qu’il fera une allocution télévisée sur la crise sanitaire du #covid19 et les décisions prises . https://t.co/ArwQdN57Al	2020-04-08 18:43:28	fr		0.0	0.0		Phil Actualités Rennes	Observateur	989.0	1010.0	215.0	334.0	8.0	False		
@VictorMVigil	"@MackMontesinos @populares @tve_tve @GPPopular @alicantepp @TvPlataforma @Carmensastre12 @educarazo @Sergio_Ramos_A @TristanaMg @CarmenRiolobos @SindicatoSIRTVE ⚫️ Gran propuesta que ya debería de estar en marcha. 
👉🏼 Nosotros, como sindicato policial, también hemos pedido banderas a media asta por los compañeros caídos, aún sin respuesta. #HeroesSinCapa #heroescovid #COVID19 #coronavirus https://t.co/jKD5TQVqvs"	2020-04-08 18:43:28	es		0.0	0.0	@MackMontesinos	Víctor M. Vigil	Secretario General de @cep_cepolicia. Vocal del Consejo de @Policia. Honestidad y transparencia. #RegeneracionCEP #CEPtusindicato #EmpecemosXLosPrincipios	1586.0	2122.0	99.0	221.0	0.0	False		
@Pen_Bird	"In California, roughly speaking, you have rent forgiveness until 90 days after the end of the emergency, and your landlord doesn't need to pay their mortgage until 90 days after the end of the emergency

#COVID19 #BlueState"	2020-04-08 18:43:28	en		0.0	0.0		Phlip	"Software cartoonist - working with Android & RPi. 

Oh bother. Poo drew on Pigleg (below)"	223905.0	3123.0	3159.0	3260.0	291.0	False		
