Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@ffdezalcaide	"Los bulos, las #FakeNews y la desinformación ponen en peligro la vida de las personas e incluso la gestión de una emergencia.

Hoy [8/5-20.30h] foro #COVID19 @CifalMalaga @UNITAR compartiendo espacio con expertos de lujo. 
Modera @sergiomartin 
#stopbulos #ComCrisis https://t.co/nDBEiDJfj9"	2020-05-08 14:08:38	es		0.0	0.0		Fernando Fernández	"Periodista despistado. Funcionario. Comunicación de emergencias e institucional.  Docente #RRSS #SMEM 
Curioso, viajero compulsivo y optimista vocacional."	21951.0	39161.0	2304.0	2578.0	135.0	False		
@ActaSanitaria	La @sespas firma un manifiesto ante el #desafío de la #COVID19 - https://t.co/PLfJ6Yp7k2 https://t.co/qllFtuaWtq	2020-05-08 14:08:36	es		0.0	0.0		Acta Sanitaria	Tu periódico de información sanitaria.  Aportando valor añadido al periodismo sanitario del país.                https://t.co/pNagdG8iQ3	80657.0	29666.0	412.0	19992.0	462.0	False		
@forceps21	"Estoy charlando en @RF_LAPAZ con Juan Carlos paciente recuperado de Covid19

“Empezó con un ardor en la garganta y después empezaron los estragos en mi cuerpo”"	2020-05-08 14:08:34	es		0.0	0.0		Gabriel Camacho	Reportero antes que humano, en #MeganoticiasLaPaz #RadioformulaLaPaz tuits personales Blog: https://t.co/VtONrPuOyV	23194.0	9849.0	3170.0	4973.0	43.0	False		
@FrancescaMusica	"Viendo la graduación (online) de mi hermanita! 
@FIU #COVID19 #QuarantineLife #Quarantine https://t.co/9DmFze8lPO"	2020-05-08 14:08:34	es		0.0	0.0		Francesca	#Cantautora, #productora poeta, artista, enamorada y algo más... Creo en todo y en nada a la vez... Bienvenidos a mi Twitter. #Emmy Nominated Audio Engineer	18728.0	1578.0	555.0	2627.0	40.0	False		
@copladem	"La prevención es la mejor defensa durante esta contigencia, el uso correcto del cubrebocas reduce los contagios de #Covid19_mx
#EnEdoméxPrevenirEsSalud. https://t.co/0eHkUmfF37"	2020-05-08 14:08:31	es		0.0	0.0		COPLADEM	Comité de Planeación para el Desarrollo del Estado de México	3569.0	426.0	293.0	3184.0	28.0	False		
@Ejercito_Div5	"Trabajando por los Ibaguereños, soldados del #BatallónRooke18 de la #SextaBrigada del apoyan  a la @alcaldiaIbague a fin de beneficiar a las familias más vulnerables en el marco de esta pandemia por el #COVID19
@portelaibague, @COMANDANTE_EJC @FuerzasMilCol @Andreshurtado_7 https://t.co/awy2FQ0SfX"	2020-05-08 14:08:30	es		0.0	0.0		Mayor General Luis Mauricio Ospina Gutiérrez	Somos un grupo de 25.000 Hombres y Mujeres revestidos de honor comprometidos con la seguridad y desarrollo en C/marca, Huila,Tolima,Quindío,Risaralda y Caldas	47293.0	7476.0	1821.0	17038.0	47.0	False		
@Jmleyva_9	@nayibbukele Donde o como es el proceso, para realizarse la prueba de covid19?	2020-05-08 14:08:30	es		0.0	0.0	@nayibbukele	Juan Leiva		36.0	9.0	36.0	3.0	0.0	False		
@12lupilla	@Mauriciomulder Sr. Investigación es importante, hay que saber de qué se habla, cobertura es una cosa pago es otra, no nos confundamos e infórmenos bien, una póliza de salud es necesaria para el presidente y su familia, ud no la tendría?? 😎👍🤣😂 #QuedateEnCasa #Covid19 https://t.co/8eyqs1H1rS	2020-05-08 14:08:28	es		0.0	0.0	@Mauriciomulder	Lupilla666💫	Eres la medicina que me pide el cuerpo y tengo que tomarte para ser feliz...,	3089.0	532.0	155.0	57.0	0.0	False		
