Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@CarlosPanza2	Y tú no pongas en riesgo a millones de madrileños #Madrid #COVID19 #Covidiotas https://t.co/Yy6lOeWe7f	2020-05-15 15:33:05	es		0.0	0.0		Carlos Panza	"Vecino de una Boadilla del Monte (Madrid) manifiestamente mejorable con #boadillacrecimiento0 #parqueforestalViñasViejas
#soterramientoM50ya"	4738.0	723.0	603.0	297.0	3.0	False		
@TongFederico	"Nuevamente en #Pucallpa, junto al premier @VicAZeballos. Desde #EsSalud seguimos reforzando nuestro trabajo en la región #Ucayali ante el #COVID19.
#QuedateEnCasa https://t.co/YAgEV9i52r"	2020-05-15 15:33:04	es		0.0	0.0		Federico Tong	Magister en Administración de Negocios Globales, MBA y Psicólogo Social con más de 25 años de experiencia profesional en el sector público y privado.	15.0	18.0	24.0	61.0	0.0	False		
@SAN_CAGRILLALEE	@mdnancylopez @tamezjorge Si están sanos no morirán. Si son obesos, diabéticos, hipertensos, fumadores, borrachos se agravarán y tal vez morirán. Pero covid19 no mata gente sana. Ningún jugador profesional de ninguna liga en el mundo ha muerto. Porqué??	2020-05-15 15:33:01	es		0.0	0.0	@mdnancylopez	Comorbilidinho	autopsia a los muertos por covid19	37585.0	124.0	393.0	684.0	8.0	False		
@ElectricaQuito	"#SectoresQueTrabajanPorTi|Gracias al compromiso del presidente @Lenin Moreno, se garantiza la dotación de agua potable a Esmeraldas.
Durante la emergencia por #COVID19, @EPPETROECUADOR entregó gas cloro a @EapaSM para la potabilización del líquido vital.
#SectorPetroleroSolidario https://t.co/Ti3MRIzlsB"	2020-05-15 15:33:00	es		0.0	0.0		Eléctrica Quito	Siempre junto a ti	80586.0	1381.0	1349.0	44143.0	99.0	True		
@PatiCapello	Con 46 años recuerdo: 2 Reyes, 3 Papas, caída Muro Berlín, atentados en Europa y USA, Viernes Negro83, Caracazo, 4F, paro petrolero, apagón Mar 2019, COVID19, destrucción del país por la V Republica. La izquierda jamás ha creado riqueza ni bienestar,solo para ellos mismos.	2020-05-15 15:32:59	es		0.0	0.0		Patrizia Capello	Esposa, mamá, hija, hermana, amiga... Freelance para cualquier área de la comunicación y consultoría estratégica...	5403.0	92.0	411.0	464.0	7.0	False		
@MonZarzuela	¡Firma para decírselo a tu ayuntamiento! El #COVID19 y la #emergenciaclimática evidencian la necesidad de un nuevo modelo de ciudad. Más espacios verdes, movilidad sostenible, menos #gentrificación y más #TurismoSostenible! @MADRID  #CambiaLaCiudad https://t.co/yS02kwuHNC	2020-05-15 15:32:54	es		0.0	0.0		Antonio Mon	"ANARQUISTA, PSYCHOBILLY, ECOLOGISTA, ANIMALISTA, FEMINISTA.
AMANDO LA VIDA Y LA LIBERTAD.

 Afiliado CGT STAP."	199.0	30.0	628.0	262.0	0.0	False		
@fmElChubut901	"AHORA: Conferencia de Prensa  #Covid19 #Chubut 15/05

🚩Sin nuevos casos al momento.
🚩  En estudio 6 casos. (5 con N E y 1 sin N. E.)
🚩 2338 viajeros en  aislamiento preventivo. https://t.co/VMcdFP1DGH"	2020-05-15 15:32:53	es		0.0	0.0		FM El Chubut 90.1	La única radio de música y noticias	21599.0	3928.0	2021.0	9554.0	44.0	False		
@FEF737	@vecino_enAlerta Hay muchas cosas q no cierran, muchas mentiras y verdades a medias, mucha necesidad d impulsar las economías y también continuar con la despoblación d los mas viejos, muchas ordenes y contraoedenes sobre cómo tratar el covid19, ej los respiradores causarían mas muertes, etc.	2020-05-15 15:32:45	es		0.0	0.0	@vecino_enAlerta	Dr. Anónimo	"#CuidemosVacaMuerta
#StopChemtrails 
#CierrenFronteras 
#MascarasParaTodos
#COVID19 
La OMS es a la SALUD lo que el FMI es a la ECONOMÍA"	44679.0	61831.0	1725.0	629.0	3.0	False		
